comment_id,post_id,media_page,comment_text,true_category
682,341,Burkina24,Exactement.,normal
161,80,Radars Info Burkina,C'est compliqué,normal
89,28,Minute.bf,Que la paix revienne.,normal
1305,1581,Sidwaya,C'est compliqué,normal
52,146,Minute.bf,Source : un ami bien placé au gouvernement.,misinfo
926,212,Minute.bf,Ils mentent sur les chiffres.,misinfo
766,482,RTB,Que Dieu protège le Faso.,normal
84,1404,Minute.bf,Elle est où la vidéo complète ?,adult
887,953,Burkina24,C'est compliqué,normal
659,954,AIB,Que Dieu protège le Faso.,normal
668,14,Burkina24,On attend de voir la suite.,normal
388,732,Radars Info Burkina,Ils mentent sur les chiffres.,misinfo
877,120,Parlons de Tout,Le peuple souffre.,normal
916,276,Sidwaya,Félicitations,normal
626,112,Radars Info Burkina,Information bien reçue,normal
1341,385,Minute.bf,Fake news,misinfo
1240,1335,Parlons de Tout,On attend la suite,normal
1254,1270,AIB,Vraiment ? C'est une bonne nouvelle.,normal
1194,1847,Sidwaya,"N'écoutez pas, c'est pour vous faire peur.",misinfo
483,640,AIB,Félicitations à lui/elle.,normal
518,1191,Radars Info Burkina,On veut la paix.,normal
64,1725,Libre Info,Merci beaucoup pour l'information.,normal
1119,1340,Burkina24,Force et courage.,normal
918,759,Radars Info Burkina,Ils ne sont pas de vrais Burkinabè.,hateful
833,1245,Minute.bf,On suit la situation de près.,normal
1439,1259,Libre Info,Enfin une bonne nouvelle !,normal
818,466,Radars Info Burkina,Rien à ajouter.,normal
872,177,Radars Info Burkina,Que Dieu protège le Faso.,normal
384,1017,Parlons de Tout,Exactement.,normal
750,615,Radars Info Burkina,Félicitations,normal
250,1900,AIB,On suit la situation de près.,normal
1129,97,Minute.bf,On veut la paix.,normal
289,629,AIB,Merci beaucoup pour l'information.,normal
1396,1884,Libre Info,On prie pour le pays.,normal
466,1994,Parlons de Tout,Journaliste corrompu,toxic
857,1522,Radars Info Burkina,"Je ne savais pas, merci.",normal
647,1239,RTB,Prompt rétablissement au blessé.,normal
48,1450,Minute.bf,On espère que ça va aller,normal
246,479,AIB,On veut la paix.,normal
503,1112,Minute.bf,Exactement.,normal
1081,1675,AIB,Merci pour le partage,normal
318,1469,Minute.bf,Merci pour cet éclaircissement.,normal
412,1525,BF1 TV,Intéressant.,normal
295,1846,Radars Info Burkina,Il faut prier,normal
431,603,Burkina24,On est fatigué.,normal
563,617,AIB,On suit la situation de près.,normal
273,451,Radars Info Burkina,Source ?,normal
553,1366,BF1 TV,Merci pour le partage,normal
1021,6,Radars Info Burkina,Quelle est cette façon de s'habiller ?,adult
970,1738,Burkina24,C'est noté,normal
748,1337,Burkina24,Prompt rétablissement au blessé.,normal
889,953,Burkina24,Merci pour l'info,normal
231,771,AIB,Que la paix revienne.,normal
688,76,BF1 TV,Regarde ses fesses,adult
1286,347,Minute.bf,On espère que ça va aller,normal
255,8,Parlons de Tout,Elle n'a pas froid aux yeux.,adult
949,571,Parlons de Tout,Bien dit,normal
1440,1650,Minute.bf,Force à nos FDS,normal
913,276,Sidwaya,Elle n'a pas froid aux yeux.,adult
1308,1031,Sidwaya,C'est exactement ça le problème.,normal
756,584,Minute.bf,"Méfiez-vous des [groupe], ce sont des serpents.",hateful
1502,96,AIB,Du courage à nos FDS.,normal
1147,454,Libre Info,Force et courage.,normal
352,1531,Parlons de Tout,OK merci,normal
693,54,AIB,Il faut les tuer,hateful
510,699,Libre Info,Merci pour l'info,normal
612,813,Parlons de Tout,Merci pour le partage,normal
188,1995,Radars Info Burkina,Que Dieu protège le Faso.,normal
362,682,AIB,Que Dieu bénisse le Burkina Faso,normal
1293,106,Minute.bf,Bravo pour votre travail.,normal
61,1241,Sidwaya,On ne veut plus de ces gens-là.,hateful
931,1586,RTB,Merci pour le partage,normal
554,367,Parlons de Tout,Triste nouvelle,normal
814,1444,Libre Info,Que Dieu nous aide,normal
952,571,Parlons de Tout,Source ?,normal
963,899,Burkina24,Bonne nouvelle,normal
1175,161,Minute.bf,Bonne nouvelle,normal
1471,833,BF1 TV,"Merci, force à vous",normal
128,1986,Radars Info Burkina,On est fatigué.,normal
271,52,Burkina24,Merci pour l'effort d'information,normal
493,834,BF1 TV,C'est noté,normal
433,603,Burkina24,Félicitations,normal
1196,1847,Sidwaya,On est fatigué.,normal
816,1444,Libre Info,C'est exactement ça le problème.,normal
209,475,BF1 TV,Information bien reçue,normal
951,571,Parlons de Tout,C'est noté,normal
557,367,Parlons de Tout,Je suis de tout cœur avec vous.,normal
392,1439,RTB,Intéressant.,normal
398,1770,Minute.bf,Vraiment ?,normal
993,1000,RTB,Je suis d'accord.,normal
939,1082,Sidwaya,"Méfiez-vous des [groupe], ce sont des serpents.",hateful
1452,1954,Minute.bf,Triste nouvelle,normal
44,912,Libre Info,Force à nos FDS,normal
1233,1895,AIB,J'aimerais être à la place du gars.,adult
498,1486,RTB,J'aimerais être à la place du gars.,adult
1316,1545,Minute.bf,Que Dieu protège le Faso.,normal
344,66,Minute.bf,Dieu est grand.,normal
359,75,Minute.bf,Source ?,normal
958,552,AIB,Information bien reçue,normal
423,389,Minute.bf,Il faut les chasser du pays.,hateful
908,869,BF1 TV,Enfin une bonne nouvelle !,normal
1078,365,AIB,La terre est plate,misinfo
1298,1909,Radars Info Burkina,Bravo pour votre travail.,normal
525,944,Sidwaya,Que Dieu nous aide,normal
959,552,AIB,Source ?,normal
880,1437,Libre Info,C'est la vérité,normal
240,1781,Burkina24,Il faut prier,normal
41,912,Libre Info,Imbécile,toxic
1031,1287,Libre Info,On prie pour le pays.,normal
927,212,Minute.bf,On prie pour le pays.,normal
1338,385,Minute.bf,Très bonne analyse.,normal
167,1521,Burkina24,Bien dit,normal
256,8,Parlons de Tout,C'est excitant,adult
543,1507,Minute.bf,Que la paix revienne.,normal
1376,643,Radars Info Burkina,On veut la paix.,normal
763,519,Parlons de Tout,Arrêtez vos bêtises.,toxic
613,691,Burkina24,Bonne nouvelle,normal
685,404,Burkina24,Information reçue 5/5.,normal
584,1604,RTB,Merci pour l'effort d'information,normal
1401,40,Burkina24,Intéressant.,normal
1180,1807,Libre Info,On s'en fout de votre avis.,toxic
891,1945,BF1 TV,"Elle provoque, c'est tout.",adult
812,1688,Radars Info Burkina,"Eux tous, il faut les dégager.",hateful
652,804,AIB,Prompt rétablissement au blessé.,normal
1197,286,Minute.bf,Que la paix revienne.,normal
1374,1084,RTB,C'est noté,normal
310,1687,Radars Info Burkina,Merci pour l'info,normal
71,301,RTB,Que Dieu protège le Faso.,normal
54,146,Minute.bf,Force et courage.,normal
745,248,Sidwaya,Vraiment ?,normal
787,1617,Parlons de Tout,C'est excitant,adult
176,855,BF1 TV,Que Dieu nous aide,normal
328,1373,RTB,Triste nouvelle,normal
1191,1753,Minute.bf,Rien à ajouter.,normal
239,1781,Burkina24,La vidéo est un deepfake.,misinfo
700,1653,Libre Info,Ce journaliste est un plaisantin.,toxic
1361,816,Burkina24,Merci pour l'effort d'information,normal
989,12,Parlons de Tout,Important à savoir,normal
735,1515,Libre Info,Important à savoir,normal
799,536,Radars Info Burkina,Il faut que les gens comprennent.,normal
59,1081,RTB,Qu'ils partent !,hateful
147,1330,Sidwaya,Je suis de tout cœur avec vous.,normal
656,1553,Minute.bf,Retournez chez vous,hateful
950,571,Parlons de Tout,C'est la vérité,normal
1236,1895,AIB,"Ouvrez les yeux, on vous manipule.",misinfo
1077,365,AIB,Vraiment ? C'est une bonne nouvelle.,normal
1102,477,BF1 TV,Du courage à nos FDS.,normal
1043,565,Minute.bf,Paix au Burkina Faso,normal
189,1995,Radars Info Burkina,Prompt rétablissement,normal
212,1790,AIB,Bonne nouvelle,normal
895,1541,BF1 TV,Félicitations à lui/elle.,normal
127,234,BF1 TV,N'importe quoi ! Vous mentez !,toxic
300,176,Libre Info,Je suis d'accord.,normal
1476,458,AIB,Il faut que les gens comprennent.,normal
1322,1045,AIB,Du courage à nos FDS.,normal
897,1541,BF1 TV,Du courage,normal
337,340,Minute.bf,OK merci,normal
1362,816,Burkina24,Bonne nouvelle,normal
804,1571,AIB,Bravo pour votre travail.,normal
200,1143,Parlons de Tout,Elle cherche quoi habillée comme ça,adult
285,1530,Parlons de Tout,Force et courage.,normal
1291,106,Minute.bf,Envoie ton 06 [numéro].,adult
1365,1607,RTB,Vraiment ?,normal
631,1727,Radars Info Burkina,Prompt rétablissement au blessé.,normal
82,1706,Minute.bf,Important à savoir,normal
419,313,Radars Info Burkina,C'est noté,normal
546,91,Radars Info Burkina,Merci pour cet éclaircissement.,normal
597,746,Libre Info,Vraiment ? C'est une bonne nouvelle.,normal
208,178,Minute.bf,Regarde ses fesses,adult
618,230,BF1 TV,Que Dieu protège le Faso.,normal
19,1575,Burkina24,Félicitations à lui/elle.,normal
317,1871,RTB,On attend de voir la suite.,normal
241,1129,AIB,C'est compliqué,normal
788,703,Libre Info,Trop sexy,adult
379,1181,Libre Info,On prie pour le pays.,normal
1114,1537,Sidwaya,Vraiment triste,normal
1321,1045,AIB,Merci beaucoup pour l'information.,normal
290,629,AIB,Merci pour l'info,normal
351,1105,AIB,C'est la vérité,normal
1488,1837,Libre Info,Nous suivons de près,normal
78,1427,Burkina24,Prompt rétablissement,normal
573,1728,Libre Info,Ils préparent quelque chose de grave.,misinfo
843,414,Radars Info Burkina,Très bonne analyse.,normal
262,1664,Sidwaya,OK merci,normal
1125,861,Minute.bf,La vidéo est un deepfake.,misinfo
343,66,Minute.bf,Je suis d'accord.,normal
737,1515,Libre Info,On attend de voir la suite.,normal
660,954,AIB,Il faut que les gens comprennent.,normal
1450,1621,BF1 TV,C'est exactement ça le problème.,normal
1386,1858,Sidwaya,C'est exactement ça le problème.,normal
1304,1581,Sidwaya,Le peuple souffre.,normal
94,1465,Parlons de Tout,On attend de voir la suite.,normal
1106,996,Minute.bf,J'aimerais être à la place du gars.,adult
1306,1581,Sidwaya,Merci beaucoup pour l'information.,normal
1216,514,Minute.bf,Prompt rétablissement au blessé.,normal
930,1586,RTB,Paix à son âme,normal
997,1099,Libre Info,Merci pour l'effort d'information,normal
592,885,Radars Info Burkina,Nous suivons de près,normal
1044,786,Parlons de Tout,Il faut que les gens comprennent.,normal
425,1979,RTB,Intéressant.,normal
14,1647,AIB,Quel pays de merde,toxic
699,1653,Libre Info,Du courage à nos FDS.,normal
1018,6,Radars Info Burkina,"Ouvrez les yeux, c'est un complot.",misinfo
232,771,AIB,Fake news,misinfo
770,448,Radars Info Burkina,OK merci,normal
1113,1537,Sidwaya,Merci beaucoup pour l'information.,normal
1244,274,Parlons de Tout,Bonne continuation,normal
1359,1529,BF1 TV,Bonne nouvelle,normal
228,1853,Minute.bf,Prompt rétablissement,normal
38,1772,Parlons de Tout,Bonne continuation,normal
1381,1740,Libre Info,On est fatigué.,normal
834,1245,Minute.bf,"Merci, force à vous",normal
242,479,AIB,OK merci,normal
789,703,Libre Info,Source ?,normal
1294,349,RTB,Je suis d'accord.,normal
1060,1188,Minute.bf,Prompt rétablissement au blessé.,normal
1127,861,Minute.bf,Propagande occidentale,misinfo
526,239,Parlons de Tout,Rien à ajouter.,normal
441,1345,Burkina24,Elle est où la vidéo complète ?,adult
1223,1885,Radars Info Burkina,On est fatigué.,normal
1006,1423,Minute.bf,Merci pour l'effort d'information,normal
138,1809,Minute.bf,Il faut que les gens comprennent.,normal
903,1472,Libre Info,C'est un idiot,toxic
1504,116,Burkina24,Envoie la vidéo stp,adult
1226,416,Burkina24,"Merci, force à vous",normal
1020,6,Radars Info Burkina,Merci pour l'info,normal
1458,1032,AIB,On suit la situation de près.,normal
166,1521,Burkina24,C'est la vérité,normal
296,204,Burkina24,Merci pour l'effort d'information,normal
218,379,Minute.bf,Je suis de tout cœur avec vous.,normal
389,732,Radars Info Burkina,On est fatigué.,normal
70,1561,Sidwaya,Information reçue 5/5.,normal
871,441,RTB,On ne veut pas de ces [insulte].,hateful
465,1994,Parlons de Tout,Arrêtez d'intoxiquer le peuple,misinfo
155,1207,RTB,C'est exactement ça le problème.,normal
775,1046,Libre Info,Nous suivons de près,normal
415,1566,AIB,Bonne continuation,normal
33,916,Minute.bf,Le peuple souffre.,normal
207,1595,BF1 TV,Source ?,normal
172,855,BF1 TV,On attend de voir la suite.,normal
515,1710,Burkina24,"Merci, force à vous",normal
340,892,RTB,Important à savoir,normal
1117,1340,Burkina24,Propagande occidentale,misinfo
439,1345,Burkina24,Que Dieu nous aide,normal
473,533,Sidwaya,On doit les chasser,hateful
1165,279,RTB,Que Dieu bénisse le Burkina Faso,normal
10,508,Radars Info Burkina,C'est une triste réalité.,normal
1215,514,Minute.bf,On en a marre de vos mensonges,toxic
230,771,AIB,Merci beaucoup pour l'information.,normal
1317,1545,Minute.bf,Que Dieu nous aide,normal
1173,1467,AIB,Force et courage.,normal
266,1911,Radars Info Burkina,Exactement.,normal
214,1790,AIB,Journaliste de pacotille.,toxic
1278,1632,Sidwaya,Exactement.,normal
800,536,Radars Info Burkina,Tout est orchestré par [pays].,misinfo
943,704,BF1 TV,C'est noté,normal
1126,861,Minute.bf,C'est la vie.,normal
348,1246,Burkina24,C'est un montage,misinfo
1120,1019,Parlons de Tout,Intéressant.,normal
76,1007,Sidwaya,On est fatigué.,normal
1232,1895,AIB,Gouvernement de merde,toxic
786,1617,Parlons de Tout,Il faut que les gens comprennent.,normal
1430,1716,Minute.bf,Merci pour l'effort d'information,normal
1022,638,RTB,Nous suivons de près,normal
1183,791,Parlons de Tout,On veut la paix.,normal
223,1963,Libre Info,Bonne continuation,normal
1303,1581,Sidwaya,C'est clair.,normal
1467,1065,Parlons de Tout,Information reçue 5/5.,normal
605,181,AIB,On veut la paix.,normal
662,688,Parlons de Tout,"N'écoutez pas, c'est pour vous faire peur.",misinfo
445,72,RTB,Du courage,normal
1149,390,Libre Info,"Merci, force à vous",normal
1257,1695,Radars Info Burkina,Propagande occidentale,misinfo
1017,1291,Sidwaya,Que Dieu bénisse le Burkina Faso,normal
565,376,Parlons de Tout,Information reçue 5/5.,normal
768,1655,Sidwaya,Merci beaucoup pour l'information.,normal
657,1553,Minute.bf,"Eux tous, il faut les dégager.",hateful
1079,365,AIB,Bravo pour votre travail.,normal
759,1411,RTB,Important à savoir,normal
1507,116,Burkina24,Merci pour l'effort d'information,normal
1101,1735,Burkina24,Information bien reçue,normal
627,1936,Minute.bf,On veut la paix.,normal
1011,1803,BF1 TV,Enfin une bonne nouvelle !,normal
322,163,Minute.bf,Que la paix revienne.,normal
572,1728,Libre Info,On veut la paix.,normal
440,1345,Burkina24,Intéressant.,normal
601,1679,Radars Info Burkina,Merci pour l'info,normal
410,1525,BF1 TV,On est fatigué.,normal
1465,351,BF1 TV,Je suis d'accord.,normal
1379,643,Radars Info Burkina,Bravo pour votre travail.,normal
558,1224,BF1 TV,Merci pour cet éclaircissement.,normal
575,436,Libre Info,Important à savoir,normal
142,1894,Burkina24,On attend la suite,normal
935,1082,Sidwaya,Paix à son âme,normal
946,889,Sidwaya,C'est la vie.,normal
972,1009,AIB,Merci pour le partage,normal
873,177,Radars Info Burkina,Paix au Burkina Faso,normal
332,920,Minute.bf,Merci pour cet éclaircissement.,normal
1505,116,Burkina24,Quelle belle [partie du corps],adult
1334,1460,Minute.bf,Force à nos FDS,normal
850,948,Minute.bf,Bonne continuation,normal
677,927,Libre Info,On attend la suite,normal
1444,969,Minute.bf,Il faut les tuer,hateful
513,1710,Burkina24,Il faut que les gens comprennent.,normal
1491,1643,Minute.bf,C'est de la merde.,toxic
437,1345,Burkina24,Qu'ils partent !,hateful
1391,761,Minute.bf,Punition pour eux,hateful
1179,1807,Libre Info,OK merci,normal
386,732,Radars Info Burkina,Bien dit,normal
761,9,Minute.bf,On est fatigué.,normal
1463,351,BF1 TV,Prompt rétablissement,normal
1472,859,RTB,Prompt rétablissement au blessé.,normal
810,1688,Radars Info Burkina,Triste nouvelle,normal
617,1751,Parlons de Tout,"Je ne savais pas, merci.",normal
742,659,Radars Info Burkina,C'est exactement ça le problème.,normal
1373,1692,AIB,Bonne nouvelle,normal
826,1396,Sidwaya,Les [groupe] dehors,hateful
383,1017,Parlons de Tout,Vidéos X ?,adult
1335,776,Sidwaya,"Très belle femme, je la veux.",adult
1247,1896,Sidwaya,Force à nos FDS,normal
63,1725,Libre Info,On espère que ça va aller,normal
1332,1289,Parlons de Tout,Information reçue 5/5.,normal
257,8,Parlons de Tout,Le peuple souffre.,normal
403,1426,Parlons de Tout,Vraiment ? C'est une bonne nouvelle.,normal
746,248,Sidwaya,On est fatigué.,normal
1080,1675,AIB,"Je ne savais pas, merci.",normal
664,688,Parlons de Tout,Merci pour la précision.,normal
599,375,Sidwaya,Bravo pour votre travail.,normal
671,37,BF1 TV,Il faut que les gens comprennent.,normal
107,806,RTB,C'est la vie.,normal
960,552,AIB,Propagande occidentale,misinfo
363,1260,Radars Info Burkina,Paix à son âme,normal
848,471,Minute.bf,Vraiment triste,normal
530,1447,AIB,Que la paix revienne.,normal
1489,887,Radars Info Burkina,Elle n'a pas froid aux yeux.,adult
5,1844,RTB,Information reçue 5/5.,normal
1445,969,Minute.bf,Vraiment ? C'est une bonne nouvelle.,normal
1190,1753,Minute.bf,Fake news,misinfo
782,1660,Burkina24,Que Dieu bénisse le Burkina Faso,normal
1497,331,Radars Info Burkina,C'est noté,normal
364,1260,Radars Info Burkina,On espère que ça va aller,normal
104,1636,RTB,Nous suivons de près,normal
824,1396,Sidwaya,Enfin une bonne nouvelle !,normal
243,479,AIB,Merci beaucoup pour l'information.,normal
429,926,Radars Info Burkina,Rien à ajouter.,normal
86,1404,Minute.bf,Vraiment ? C'est une bonne nouvelle.,normal
372,1482,BF1 TV,Dieu est grand.,normal
406,1937,BF1 TV,Nous suivons de près,normal
238,1781,Burkina24,Merci beaucoup pour l'information.,normal
893,1945,BF1 TV,Analyse très pertinente.,normal
152,118,Parlons de Tout,C'est l'Occident qui est derrière tout ça,misinfo
269,52,Burkina24,C'est la vérité,normal
1186,554,Minute.bf,Le peuple souffre.,normal
1176,161,Minute.bf,N'importe quoi ! Vous mentez !,toxic
501,1486,RTB,On s'en fout de votre avis.,toxic
116,444,AIB,Je suis de tout cœur avec vous.,normal
598,876,Minute.bf,Mort à ces gens,hateful
105,94,Minute.bf,Du courage à nos FDS.,normal
1034,245,Libre Info,Exactement.,normal
953,571,Parlons de Tout,Vraiment triste,normal
1069,133,Burkina24,Information reçue 5/5.,normal
122,164,Parlons de Tout,Vraiment ?,normal
1324,1092,Parlons de Tout,Que Dieu protège le Faso.,normal
177,1746,Minute.bf,Exactement.,normal
467,1546,Minute.bf,On prie pour le pays.,normal
791,703,Libre Info,Il faut prier,normal
774,1046,Libre Info,Bande d'incompétents.,toxic
925,70,Radars Info Burkina,Vraiment ?,normal
964,820,Libre Info,Information reçue 5/5.,normal
287,629,AIB,C'est la vérité,normal
1075,156,Parlons de Tout,Ils méritent ce qui leur arrive.,hateful
701,1653,Libre Info,Merci pour cet éclaircissement.,normal
1400,280,AIB,Pas de pitié pour les [groupe].,hateful
921,759,Radars Info Burkina,Bien dit,normal
43,912,Libre Info,Félicitations à lui/elle.,normal
1469,329,Minute.bf,Enfin une bonne nouvelle !,normal
75,1141,Radars Info Burkina,"Je ne savais pas, merci.",normal
635,1812,Libre Info,Fermez la bouche,toxic
637,1910,Radars Info Burkina,On en a marre de vos mensonges,toxic
286,1513,Radars Info Burkina,Haine à ce groupe,hateful
320,163,Minute.bf,Qu'ils retournent d'où ils viennent.,hateful
975,1009,AIB,J'aimerais être à la place du gars.,adult
593,922,Minute.bf,Enfin une bonne nouvelle !,normal
751,615,Radars Info Burkina,Merci pour le partage,normal
210,475,BF1 TV,Enfin une bonne nouvelle !,normal
629,1727,Radars Info Burkina,Vraiment ? C'est une bonne nouvelle.,normal
747,1851,Sidwaya,On est fatigué.,normal
945,39,Burkina24,Très bonne analyse.,normal
1118,1340,Burkina24,On suit la situation de près.,normal
225,1853,Minute.bf,Je veux son numéro,adult
159,80,Radars Info Burkina,Merci pour la précision.,normal
853,637,AIB,Vraiment triste,normal
881,1437,Libre Info,Bonne nouvelle,normal
444,72,RTB,Prompt rétablissement au blessé.,normal
146,865,RTB,On attend la suite,normal
